participant_id,cohort_year,enrollment_date,age_at_enrollment,grade_level,race_ethnicity,gender,high_school,title_1_school,family_income_range,household_size,first_generation_college,program_track,transportation_barrier,childcare_needs
CYC2022096,2022,2022-10-07,16,11th,White,Female,Harding University High School,Yes,"$25,000-$39,999",2,No,College Prep,No,No
CYC2022097,2022,2022-09-13,17,12th,Black or African American,Male,Rocky River High School,No,"$40,000-$59,999",3,No,Dual Track,No,Yes
CYC2022098,2022,2022-08-24,15,10th,Black or African American,Male,Butler High School,No,"$60,000-$79,999",4,Yes,College Prep,No,No
CYC2022099,2022,2022-09-30,15,9th,Black or African American,Male,Charlotte Catholic High School,Yes,"$40,000-$59,999",2,Yes,Intensive Support,No,No
CYC2022100,2022,2022-09-21,18,12th,Black or African American,Female,Garinger High School,No,"$25,000-$39,999",5,No,College Prep,No,No
CYC2022101,2022,2022-08-24,16,11th,Hispanic/Latino,Female,North Mecklenburg High School,Yes,"$25,000-$39,999",3,Yes,Career Readiness,No,N/A
CYC2022102,2022,2022-08-25,18,12th,Hispanic/Latino,Male,North Mecklenburg High School,No,"$100,000+",6,Yes,Career Readiness,No,No
CYC2022103,2022,2022-10-12,17,11th,White,Male,Butler High School,Yes,"$40,000-$59,999",2,Yes,College Prep,Yes,No
CYC2022104,2022,2022-08-30,15,10th,Hispanic/Latino,Male,Harding University High School,Yes,"$60,000-$79,999",2,Yes,College Prep,No,N/A
CYC2022105,2022,2022-10-12,14,9th,Hispanic/Latino,Male,Olympic High School,No,"Under $25,000",2,Yes,College Prep,Yes,Yes
CYC2022106,2022,2022-09-20,16,11th,Hispanic/Latino,Male,Rocky River High School,Yes,"$60,000-$79,999",5,Yes,College Prep,No,Yes
CYC2022107,2022,2022-09-29,14,9th,Hispanic/Latino,Female,Olympic High School,Yes,"Under $25,000",5,Yes,College Prep,No,Yes
CYC2022108,2022,2022-09-25,14,9th,White,Male,Rocky River High School,No,"$25,000-$39,999",2,Yes,College Prep,No,N/A
CYC2022109,2022,2022-09-11,15,10th,Black or African American,Male,Mallard Creek High School,Yes,"Under $25,000",5,Yes,College Prep,No,N/A
CYC2022110,2022,2022-09-24,18,12th,Black or African American,Female,Rocky River High School,Yes,"$25,000-$39,999",5,Yes,Career Readiness,Yes,Yes
CYC2022111,2022,2022-10-14,17,11th,Black or African American,Female,Harding University High School,Yes,"$40,000-$59,999",3,Yes,College Prep,No,Yes
CYC2022112,2022,2022-08-18,14,9th,Multiracial,Male,Mallard Creek High School,Yes,"$60,000-$79,999",2,Yes,Career Readiness,No,No
CYC2022113,2022,2022-08-20,16,11th,Hispanic/Latino,Male,Harding University High School,Yes,"Under $25,000",6,No,College Prep,No,No
CYC2022114,2022,2022-08-22,15,10th,White,Female,Independence High School,Yes,"$25,000-$39,999",2,Yes,Dual Track,No,No
CYC2022115,2022,2022-10-07,15,9th,Black or African American,Male,Independence High School,Yes,"$40,000-$59,999",4,Yes,Dual Track,No,No
CYC2022116,2022,2022-08-20,18,12th,White,Female,East Mecklenburg High School,Yes,"$60,000-$79,999",5,Yes,College Prep,Yes,Yes
CYC2022117,2022,2022-09-19,15,9th,Hispanic/Latino,Female,Rocky River High School,No,"$40,000-$59,999",4,Yes,College Prep,Yes,N/A
CYC2022118,2022,2022-09-23,14,9th,Black or African American,Female,Independence High School,Yes,"$25,000-$39,999",7,No,Career Readiness,No,Yes
CYC2022119,2022,2022-09-12,16,11th,White,Male,Myers Park High School,Yes,"Under $25,000",4,No,College Prep,No,No
CYC2022120,2022,2022-08-25,16,11th,White,Male,South Mecklenburg High School,Yes,"$60,000-$79,999",3,Yes,Career Readiness,Yes,Yes
CYC2022121,2022,2022-09-23,17,12th,Hispanic/Latino,Female,South Mecklenburg High School,No,"$40,000-$59,999",4,Yes,Dual Track,Yes,No
CYC2022122,2022,2022-10-15,17,12th,White,Female,South Mecklenburg High School,No,"Under $25,000",2,Yes,Career Readiness,Yes,No
CYC2022123,2022,2022-09-29,16,10th,White,Male,Vance High School,Yes,"$40,000-$59,999",1,Yes,College Prep,No,No
CYC2022124,2022,2022-09-15,17,12th,Black or African American,Female,Garinger High School,No,"Under $25,000",4,Yes,College Prep,No,N/A
CYC2022125,2022,2022-09-30,16,11th,Multiracial,Male,Vance High School,Yes,"$60,000-$79,999",5,Yes,Dual Track,Yes,No
CYC2022126,2022,2022-08-31,17,11th,Hispanic/Latino,Male,Olympic High School,Yes,"Under $25,000",2,Yes,Career Readiness,No,No
CYC2022127,2022,2022-09-21,18,12th,Hispanic/Latino,Male,Hopewell High School,No,"$25,000-$39,999",3,Yes,Career Readiness,Yes,No
CYC2022128,2022,2022-10-14,16,10th,Asian,Female,West Charlotte High School,Yes,"$25,000-$39,999",2,Yes,College Prep,No,Yes
CYC2022129,2022,2022-08-26,15,10th,Asian,Male,Harding University High School,Yes,"Under $25,000",3,Yes,Intensive Support,Yes,No
CYC2022130,2022,2022-09-11,15,10th,Hispanic/Latino,Male,Charlotte Catholic High School,Yes,"Under $25,000",3,Yes,College Prep,No,No
CYC2022131,2022,2022-09-20,16,11th,Black or African American,Male,Harding University High School,No,"Under $25,000",2,No,College Prep,No,No
CYC2022132,2022,2022-10-12,16,11th,Hispanic/Latino,Female,Garinger High School,No,"$40,000-$59,999",6,Yes,Intensive Support,Yes,No
CYC2022133,2022,2022-09-13,15,10th,Black or African American,Female,Harding University High School,Yes,"$60,000-$79,999",5,Yes,Intensive Support,No,No
CYC2022134,2022,2022-10-15,16,11th,Hispanic/Latino,Female,Independence High School,Yes,"$25,000-$39,999",1,No,Intensive Support,Yes,No
CYC2022135,2022,2022-10-06,17,11th,Black or African American,Female,South Mecklenburg High School,No,"Under $25,000",2,No,Career Readiness,No,No
CYC2022136,2022,2022-08-20,18,12th,White,Female,East Mecklenburg High School,Yes,"$25,000-$39,999",8,Yes,College Prep,No,N/A
CYC2022137,2022,2022-09-23,18,12th,Black or African American,Male,Olympic High School,Yes,"$25,000-$39,999",5,Yes,College Prep,No,No
CYC2022138,2022,2022-09-30,17,12th,Black or African American,Female,Julius Chambers High School,Yes,"$100,000+",5,Yes,College Prep,No,No
CYC2022139,2022,2022-09-01,15,9th,Multiracial,Male,Myers Park High School,Yes,"Under $25,000",6,Yes,Dual Track,No,Yes
CYC2022140,2022,2022-08-21,18,12th,Asian,Male,Mallard Creek High School,No,"Under $25,000",3,Yes,Dual Track,No,No
CYC2022141,2022,2022-09-24,15,10th,Black or African American,Female,Charlotte Catholic High School,Yes,"$60,000-$79,999",3,Yes,Career Readiness,No,Yes
CYC2022142,2022,2022-09-05,18,12th,Black or African American,Female,Olympic High School,Yes,"Under $25,000",4,No,College Prep,Yes,No
CYC2022143,2022,2022-08-29,17,12th,Black or African American,Non-binary,Julius Chambers High School,Yes,"$25,000-$39,999",1,Yes,Career Readiness,No,No
CYC2022144,2022,2022-10-15,15,9th,Black or African American,Male,Hopewell High School,No,"Under $25,000",1,Yes,Career Readiness,No,No
CYC2022145,2022,2022-09-22,18,12th,White,Female,Butler High School,Yes,"Under $25,000",3,Yes,College Prep,Yes,Yes
CYC2022146,2022,2022-09-02,18,12th,Black or African American,Male,West Charlotte High School,Yes,"$60,000-$79,999",5,No,Career Readiness,Yes,No
CYC2022147,2022,2022-09-01,18,12th,Multiracial,Female,Ardrey Kell High School,Yes,"$25,000-$39,999",2,Yes,College Prep,Yes,No
CYC2022148,2022,2022-09-26,18,12th,Black or African American,Female,Hopewell High School,No,"$25,000-$39,999",5,Yes,Career Readiness,No,No
CYC2022149,2022,2022-10-01,18,12th,White,Female,Harding University High School,Yes,"Under $25,000",4,Yes,College Prep,No,N/A
CYC2022150,2022,2022-10-05,17,11th,Black or African American,Male,South Mecklenburg High School,Yes,"$40,000-$59,999",3,Yes,Career Readiness,No,N/A
CYC2022151,2022,2022-08-20,18,12th,Black or African American,Female,Garinger High School,Yes,"$80,000-$99,999",2,No,Career Readiness,Yes,No
CYC2022152,2022,2022-08-18,15,10th,White,Female,Ardrey Kell High School,No,"$60,000-$79,999",5,No,College Prep,No,No
CYC2022153,2022,2022-10-11,16,11th,White,Female,Harding University High School,Yes,"$25,000-$39,999",3,Yes,Career Readiness,No,No
CYC2022154,2022,2022-10-04,16,10th,Black or African American,Female,Mallard Creek High School,Yes,"Under $25,000",4,No,College Prep,No,No
CYC2022155,2022,2022-10-06,18,12th,Hispanic/Latino,Female,South Mecklenburg High School,Yes,"Under $25,000",5,Yes,Career Readiness,No,Yes
CYC2022156,2022,2022-09-01,14,9th,Black or African American,Female,Charlotte Catholic High School,Yes,"Under $25,000",6,No,College Prep,No,No
CYC2022157,2022,2022-08-27,17,12th,Black or African American,Female,South Mecklenburg High School,Yes,"Under $25,000",3,Yes,Dual Track,Yes,Yes
CYC2022158,2022,2022-09-10,15,9th,White,Female,Ardrey Kell High School,Yes,"$100,000+",4,Yes,College Prep,Yes,No
CYC2022159,2022,2022-08-29,18,12th,Black or African American,Male,Vance High School,No,"$25,000-$39,999",8,Yes,College Prep,No,No
CYC2022160,2022,2022-08-31,16,11th,White,Female,Butler High School,No,"$40,000-$59,999",4,Yes,College Prep,No,No
CYC2022161,2022,2022-08-19,17,11th,Black or African American,Male,Hopewell High School,Yes,"$25,000-$39,999",1,No,Career Readiness,Yes,No
CYC2022162,2022,2022-10-15,17,11th,White,Male,Rocky River High School,Yes,"Under $25,000",5,Yes,Dual Track,Yes,No
CYC2022163,2022,2022-10-04,18,12th,Black or African American,Female,Butler High School,Yes,"Under $25,000",2,Yes,College Prep,Yes,No
CYC2022164,2022,2022-09-02,16,11th,Hispanic/Latino,Female,Garinger High School,Yes,"$100,000+",4,Yes,Career Readiness,Yes,No
CYC2022165,2022,2022-08-17,16,11th,Hispanic/Latino,Female,Providence High School,Yes,"$40,000-$59,999",3,No,Career Readiness,No,N/A
CYC2022166,2022,2022-08-22,16,10th,Hispanic/Latino,Female,Vance High School,Yes,"$60,000-$79,999",1,Yes,College Prep,No,No
CYC2022167,2022,2022-08-29,16,11th,Black or African American,Male,East Mecklenburg High School,Yes,"Under $25,000",5,No,College Prep,No,No
CYC2022168,2022,2022-08-26,18,12th,Hispanic/Latino,Female,Providence High School,Yes,"$40,000-$59,999",5,Yes,College Prep,Yes,No
CYC2022169,2022,2022-08-23,17,12th,Hispanic/Latino,Female,Myers Park High School,No,"$60,000-$79,999",5,Yes,Dual Track,No,No
CYC2022170,2022,2022-08-15,16,11th,Black or African American,Male,North Mecklenburg High School,No,"$60,000-$79,999",6,Yes,College Prep,No,N/A
CYC2022171,2022,2022-08-21,18,12th,Hispanic/Latino,Female,Rocky River High School,Yes,"$60,000-$79,999",3,Yes,Dual Track,No,Yes
CYC2022172,2022,2022-09-24,17,11th,Hispanic/Latino,Female,Harding University High School,Yes,"Under $25,000",1,No,Dual Track,Yes,No
CYC2022173,2022,2022-08-31,16,11th,Black or African American,Male,Providence High School,No,"$25,000-$39,999",4,No,College Prep,No,N/A
CYC2022174,2022,2022-09-14,17,12th,Black or African American,Male,Myers Park High School,Yes,"Under $25,000",3,Yes,Career Readiness,No,N/A
CYC2022175,2022,2022-10-10,16,10th,White,Male,Garinger High School,No,"$25,000-$39,999",6,No,College Prep,No,Yes
CYC2022176,2022,2022-09-05,18,12th,Black or African American,Female,Ardrey Kell High School,Yes,"$40,000-$59,999",3,Yes,Dual Track,Yes,No
CYC2022177,2022,2022-09-11,18,12th,Black or African American,Male,Myers Park High School,No,"$25,000-$39,999",3,Yes,College Prep,No,No
CYC2022178,2022,2022-10-04,18,12th,Black or African American,Male,Hopewell High School,Yes,"$25,000-$39,999",3,Yes,Intensive Support,No,No
CYC2022179,2022,2022-08-23,17,12th,Black or African American,Female,Hopewell High School,Yes,"Under $25,000",6,No,Career Readiness,No,No
CYC2022180,2022,2022-10-09,18,12th,Black or African American,Female,Myers Park High School,Yes,"$25,000-$39,999",3,Yes,College Prep,No,N/A
CYC2022181,2022,2022-10-03,15,9th,White,Female,Myers Park High School,Yes,"Under $25,000",3,Yes,Intensive Support,No,No
CYC2022182,2022,2022-09-27,14,9th,Hispanic/Latino,Female,Charlotte Catholic High School,No,"$25,000-$39,999",3,Yes,College Prep,No,No
CYC2022183,2022,2022-08-24,15,9th,White,Male,Rocky River High School,Yes,"Under $25,000",2,No,College Prep,No,No
CYC2022184,2022,2022-08-23,17,12th,Black or African American,Female,Providence High School,Yes,"Under $25,000",4,Yes,College Prep,No,No
CYC2022185,2022,2022-09-20,16,11th,White,Female,Rocky River High School,Yes,"$40,000-$59,999",5,Yes,Dual Track,No,No
CYC2022186,2022,2022-09-09,17,11th,Black or African American,Female,Harding University High School,Yes,"$60,000-$79,999",4,Yes,College Prep,No,No
CYC2022187,2022,2022-10-04,18,12th,Black or African American,Male,North Mecklenburg High School,Yes,"Under $25,000",7,Yes,Dual Track,No,No
CYC2022188,2022,2022-09-08,18,12th,Multiracial,Male,South Mecklenburg High School,Yes,"$25,000-$39,999",2,No,Career Readiness,No,Yes
CYC2022189,2022,2022-10-10,16,11th,Hispanic/Latino,Female,Harding University High School,No,"$25,000-$39,999",3,No,College Prep,No,No
CYC2022190,2022,2022-10-15,18,12th,Hispanic/Latino,Non-binary,Butler High School,Yes,"Under $25,000",2,Yes,College Prep,No,No
CYC2022191,2022,2022-08-15,15,9th,Black or African American,Female,Rocky River High School,No,"$25,000-$39,999",2,Yes,Career Readiness,No,No
CYC2022192,2022,2022-08-23,18,12th,White,Female,Ardrey Kell High School,Yes,"$40,000-$59,999",4,Yes,Dual Track,No,Yes
CYC2022193,2022,2022-09-20,17,11th,Hispanic/Latino,Male,North Mecklenburg High School,No,"Under $25,000",5,Yes,College Prep,Yes,Yes
CYC2022194,2022,2022-08-22,17,12th,Black or African American,Male,Julius Chambers High School,No,"Under $25,000",4,Yes,Career Readiness,No,No
CYC2022195,2022,2022-09-22,16,11th,Hispanic/Latino,Female,Harding University High School,Yes,"$40,000-$59,999",3,No,Dual Track,No,No
CYC2022196,2022,2022-10-12,18,12th,White,Female,Garinger High School,No,"$40,000-$59,999",4,Yes,College Prep,No,No
CYC2022197,2022,2022-08-29,16,11th,Hispanic/Latino,Male,Myers Park High School,Yes,"$60,000-$79,999",5,No,Career Readiness,Yes,No
CYC2022198,2022,2022-09-11,17,12th,Black or African American,Female,Garinger High School,Yes,"$40,000-$59,999",6,Yes,Intensive Support,No,No
CYC2022199,2022,2022-08-26,18,12th,Black or African American,Female,Vance High School,No,"$25,000-$39,999",4,Yes,College Prep,No,No
