participant_id,cohort_year,session_week,session_date,session_type,attended,hours_participated,tutor_assigned
CYC2021007,2021,21,2022-02-18,Tutoring,Present,2,TUTOR01
CYC2021007,2021,22,2022-02-25,Leadership,Present,1.5,TUTOR06
CYC2021007,2021,23,2022-03-04,Financial Literacy,Present,2.5,TUTOR05
CYC2021007,2021,24,2022-03-11,Tutoring,Present,1.5,TUTOR12
CYC2021007,2021,25,2022-03-18,Financial Literacy,Present,2,TUTOR08
CYC2021007,2021,26,2022-03-25,Test Prep,Present,1.5,TUTOR07
CYC2021007,2021,27,2022-04-01,Test Prep,Absent,0,TUTOR08
CYC2021007,2021,28,2022-04-08,Study Skills,Absent,0,TUTOR04
CYC2021007,2021,29,2022-04-15,Financial Literacy,Present,2,TUTOR02
CYC2021007,2021,30,2022-04-22,Career Exploration,Absent,0,TUTOR04
CYC2021007,2021,31,2022-04-29,Tutoring,Present,2.5,TUTOR04
CYC2021007,2021,32,2022-05-06,Test Prep,Present,2,TUTOR11
CYC2021007,2021,33,2022-05-13,Financial Literacy,Present,3,TUTOR06
CYC2021007,2021,34,2022-05-20,Study Skills,Present,1.5,TUTOR02
CYC2021007,2021,35,2022-05-27,Leadership,Present,1.5,TUTOR09
CYC2021008,2021,1,2021-10-10,Financial Literacy,Absent,0,TUTOR07
CYC2021008,2021,2,2021-10-17,Tutoring,Present,2.5,TUTOR05
CYC2021008,2021,3,2021-10-24,Financial Literacy,Absent,0,TUTOR10
CYC2021008,2021,4,2021-10-31,Test Prep,Present,2,TUTOR11
CYC2021008,2021,5,2021-11-07,Test Prep,Present,2,TUTOR12
CYC2021008,2021,6,2021-11-14,Study Skills,Absent,0,TUTOR09
CYC2021008,2021,7,2021-11-21,Career Exploration,Present,2.5,TUTOR03
CYC2021008,2021,8,2021-11-28,Test Prep,Present,2.5,TUTOR06
CYC2021008,2021,9,2021-12-05,Financial Literacy,Present,2,TUTOR04
CYC2021008,2021,10,2021-12-12,Test Prep,Absent,0,TUTOR09
CYC2021008,2021,11,2021-12-19,Tutoring,Present,2,TUTOR08
CYC2021008,2021,12,2021-12-26,Financial Literacy,Present,2.5,TUTOR11
CYC2021008,2021,13,2022-01-02,Financial Literacy,Present,2.5,TUTOR08
CYC2021008,2021,14,2022-01-09,Leadership,Present,1.5,TUTOR01
CYC2021008,2021,15,2022-01-16,Study Skills,Absent,0,TUTOR07
CYC2021008,2021,16,2022-01-23,Test Prep,Present,2.5,TUTOR02
CYC2021008,2021,17,2022-01-30,Career Exploration,Present,2.5,TUTOR04
CYC2021008,2021,18,2022-02-06,Test Prep,Present,3,TUTOR09
CYC2021008,2021,19,2022-02-13,Financial Literacy,Present,2.5,TUTOR08
CYC2021008,2021,20,2022-02-20,Financial Literacy,Present,1.5,TUTOR01
CYC2021008,2021,21,2022-02-27,Leadership,Present,3,TUTOR02
CYC2021008,2021,22,2022-03-06,Tutoring,Present,2,TUTOR02
CYC2021008,2021,23,2022-03-13,Tutoring,Present,2.5,TUTOR09
CYC2021008,2021,24,2022-03-20,College Planning,Present,2,TUTOR12
CYC2021008,2021,25,2022-03-27,College Planning,Present,2.5,TUTOR07
CYC2021008,2021,26,2022-04-03,College Planning,Present,3,TUTOR03
CYC2021008,2021,27,2022-04-10,Study Skills,Absent,0,TUTOR08
CYC2021008,2021,28,2022-04-17,Test Prep,Present,2,TUTOR02
CYC2021009,2021,1,2021-10-10,Career Exploration,Present,2.5,TUTOR08
CYC2021009,2021,2,2021-10-17,Career Exploration,Present,2.5,TUTOR09
CYC2021009,2021,3,2021-10-24,Leadership,Present,2,TUTOR01
CYC2021009,2021,4,2021-10-31,Study Skills,Present,2,TUTOR12
CYC2021009,2021,5,2021-11-07,Study Skills,Present,2,TUTOR07
CYC2021009,2021,6,2021-11-14,College Planning,Present,2.5,TUTOR07
CYC2021009,2021,7,2021-11-21,Leadership,Present,2.5,TUTOR04
CYC2021009,2021,8,2021-11-28,Study Skills,Present,1.5,TUTOR02
CYC2021009,2021,9,2021-12-05,Test Prep,Present,2.5,TUTOR06
CYC2021009,2021,10,2021-12-12,Study Skills,Present,1.5,TUTOR08
CYC2021009,2021,11,2021-12-19,Tutoring,Present,2,TUTOR11
CYC2021009,2021,12,2021-12-26,Tutoring,Present,1.5,TUTOR09
CYC2021009,2021,13,2022-01-02,College Planning,Present,2,TUTOR11
CYC2021009,2021,14,2022-01-09,Leadership,Present,2,TUTOR06
CYC2021009,2021,15,2022-01-16,Career Exploration,Absent,0,TUTOR07
CYC2021009,2021,16,2022-01-23,Career Exploration,Present,2,TUTOR04
CYC2021009,2021,17,2022-01-30,Study Skills,Present,1.5,TUTOR06
CYC2021009,2021,18,2022-02-06,Career Exploration,Present,1.5,TUTOR01
CYC2021009,2021,19,2022-02-13,Career Exploration,Present,2.5,TUTOR09
CYC2021009,2021,20,2022-02-20,College Planning,Present,3,TUTOR12
CYC2021009,2021,21,2022-02-27,Study Skills,Present,2.5,TUTOR12
CYC2021009,2021,22,2022-03-06,Leadership,Absent,0,TUTOR07
CYC2021009,2021,23,2022-03-13,Tutoring,Present,3,TUTOR01
CYC2021009,2021,24,2022-03-20,Leadership,Absent,0,TUTOR05
CYC2021009,2021,25,2022-03-27,Tutoring,Present,1.5,TUTOR10
CYC2021009,2021,26,2022-04-03,Leadership,Absent,0,TUTOR05
CYC2021009,2021,27,2022-04-10,Study Skills,Absent,0,TUTOR07
CYC2021009,2021,28,2022-04-17,Study Skills,Present,1.5,TUTOR02
CYC2021009,2021,29,2022-04-24,Tutoring,Present,3,TUTOR01
CYC2021009,2021,30,2022-05-01,Financial Literacy,Present,2,TUTOR12
CYC2021010,2021,1,2021-08-23,Study Skills,Present,1.5,TUTOR02
CYC2021010,2021,2,2021-08-30,Study Skills,Present,1.5,TUTOR03
CYC2021010,2021,3,2021-09-06,Study Skills,Present,2,TUTOR05
CYC2021010,2021,4,2021-09-13,Financial Literacy,Present,1.5,TUTOR06
CYC2021010,2021,5,2021-09-20,Career Exploration,Absent,0,TUTOR11
CYC2021010,2021,6,2021-09-27,Study Skills,Present,1.5,TUTOR10
CYC2021010,2021,7,2021-10-04,Test Prep,Present,2.5,TUTOR10
CYC2021010,2021,8,2021-10-11,Financial Literacy,Present,2.5,TUTOR10
CYC2021010,2021,9,2021-10-18,Test Prep,Absent,0,TUTOR05
CYC2021010,2021,10,2021-10-25,Tutoring,Absent,0,TUTOR03
CYC2021010,2021,11,2021-11-01,Leadership,Absent,0,TUTOR07
CYC2021010,2021,12,2021-11-08,Tutoring,Present,2,TUTOR03
CYC2021010,2021,13,2021-11-15,Tutoring,Present,2.5,TUTOR12
CYC2021010,2021,14,2021-11-22,Test Prep,Present,2,TUTOR08
CYC2021010,2021,15,2021-11-29,Test Prep,Absent,0,TUTOR07
CYC2021010,2021,16,2021-12-06,Study Skills,Absent,0,TUTOR02
CYC2021010,2021,17,2021-12-13,Financial Literacy,Absent,0,TUTOR08
CYC2021010,2021,18,2021-12-20,Leadership,Excused,0,TUTOR09
CYC2021010,2021,19,2021-12-27,Financial Literacy,Present,2,TUTOR06
CYC2021010,2021,20,2022-01-03,Tutoring,Present,2.5,TUTOR01
CYC2021010,2021,21,2022-01-10,Financial Literacy,Absent,0,TUTOR12
CYC2021010,2021,22,2022-01-17,Study Skills,Present,2.5,TUTOR11
CYC2021010,2021,23,2022-01-24,Study Skills,Absent,0,TUTOR09
CYC2021010,2021,24,2022-01-31,College Planning,Present,2.5,TUTOR08
CYC2021010,2021,25,2022-02-07,Study Skills,Present,2,TUTOR04
CYC2021010,2021,26,2022-02-14,College Planning,Present,2.5,TUTOR03
CYC2021010,2021,27,2022-02-21,Financial Literacy,Absent,0,TUTOR01
CYC2021010,2021,28,2022-02-28,Study Skills,Absent,0,TUTOR10
CYC2021010,2021,29,2022-03-07,Career Exploration,Absent,0,TUTOR07
CYC2021011,2021,1,2021-09-19,College Planning,Present,3,TUTOR02
CYC2021011,2021,2,2021-09-26,Study Skills,Present,2.5,TUTOR09
CYC2021011,2021,3,2021-10-03,Leadership,Present,2.5,TUTOR12
CYC2021011,2021,4,2021-10-10,Tutoring,Present,2,TUTOR11
CYC2021011,2021,5,2021-10-17,Tutoring,Absent,0,TUTOR12
CYC2021011,2021,6,2021-10-24,College Planning,Present,3,TUTOR03
CYC2021011,2021,7,2021-10-31,Tutoring,Present,2.5,TUTOR05
CYC2021011,2021,8,2021-11-07,Financial Literacy,Present,2,TUTOR03
CYC2021011,2021,9,2021-11-14,Test Prep,Present,2,TUTOR11
CYC2021011,2021,10,2021-11-21,Study Skills,Present,2,TUTOR11
CYC2021011,2021,11,2021-11-28,Financial Literacy,Absent,0,TUTOR11
CYC2021011,2021,12,2021-12-05,College Planning,Absent,0,TUTOR06
CYC2021011,2021,13,2021-12-12,Tutoring,Absent,0,TUTOR07
CYC2021011,2021,14,2021-12-19,Financial Literacy,Present,3,TUTOR01
CYC2021011,2021,15,2021-12-26,Career Exploration,Present,2,TUTOR04
CYC2021011,2021,16,2022-01-02,College Planning,Present,1.5,TUTOR11
CYC2021011,2021,17,2022-01-09,College Planning,Present,2,TUTOR02
CYC2021011,2021,18,2022-01-16,Leadership,Present,1.5,TUTOR05
CYC2021011,2021,19,2022-01-23,Study Skills,Present,2,TUTOR11
CYC2021011,2021,20,2022-01-30,Test Prep,Absent,0,TUTOR01
CYC2021011,2021,21,2022-02-06,College Planning,Present,2,TUTOR05
CYC2021011,2021,22,2022-02-13,Study Skills,Present,3,TUTOR02
CYC2021011,2021,23,2022-02-20,Tutoring,Absent,0,TUTOR12
CYC2021011,2021,24,2022-02-27,Career Exploration,Present,2,TUTOR02
CYC2021011,2021,25,2022-03-06,Financial Literacy,Present,2.5,TUTOR07
CYC2021011,2021,26,2022-03-13,Tutoring,Present,2,TUTOR07
CYC2021011,2021,27,2022-03-20,Financial Literacy,Excused,0,TUTOR11
CYC2021011,2021,28,2022-03-27,Test Prep,Present,2,TUTOR06
CYC2021011,2021,29,2022-04-03,College Planning,Present,2,TUTOR04
CYC2021011,2021,30,2022-04-10,Tutoring,Absent,0,TUTOR02
CYC2021012,2021,1,2021-09-27,Career Exploration,Present,1.5,TUTOR05
CYC2021012,2021,2,2021-10-04,Study Skills,Present,2.5,TUTOR03
CYC2021012,2021,3,2021-10-11,Tutoring,Absent,0,TUTOR04
CYC2021012,2021,4,2021-10-18,College Planning,Absent,0,TUTOR01
CYC2021012,2021,5,2021-10-25,College Planning,Present,2.5,TUTOR02
CYC2021012,2021,6,2021-11-01,Tutoring,Present,3,TUTOR09
CYC2021012,2021,7,2021-11-08,Test Prep,Present,1.5,TUTOR01
CYC2021012,2021,8,2021-11-15,Leadership,Present,1.5,TUTOR11
CYC2021012,2021,9,2021-11-22,Study Skills,Present,2.5,TUTOR12
CYC2021012,2021,10,2021-11-29,Financial Literacy,Present,3,TUTOR03
CYC2021012,2021,11,2021-12-06,Leadership,Present,2,TUTOR06
CYC2021012,2021,12,2021-12-13,Study Skills,Present,3,TUTOR09
CYC2021012,2021,13,2021-12-20,Tutoring,Present,2,TUTOR05
