participant_id,cohort_year,enrollment_date,survey_date,completion_status,age_at_enrollment,grade_level,race_ethnicity,gender,high_school,title_1_school,family_income_range,household_size,first_generation_college,program_track,transportation_barrier,childcare_needs,cohort_year_pre,age_at_enrollment_pre,grade_level_pre,race_ethnicity_pre,gender_pre,high_school_pre,title_1_school_pre,family_income_range_pre,household_size_pre,first_generation_college_pre,program_track_pre,transportation_barrier_pre,childcare_needs_pre,act_composite_pre,act_english_pre,act_math_pre,act_reading_pre,act_science_pre,sat_total_pre,sat_math_pre,sat_verbal_pre,gpa_pre,college_readiness_self_rating,study_hours_per_week,career_confidence_rating,academic_support_at_home,technology_access,post_secondary_plan,cohort_year_post,age_at_enrollment_post,grade_level_post,race_ethnicity_post,gender_post,high_school_post,title_1_school_post,family_income_range_post,household_size_post,first_generation_college_post,program_track_post,transportation_barrier_post,childcare_needs_post,act_composite_pre_post,act_english_pre_post,act_math_pre_post,act_reading_pre_post,act_science_pre_post,sat_total_pre_post,sat_math_pre_post,sat_verbal_pre_post,gpa_pre_post,college_readiness_self_rating_post,study_hours_per_week_post,career_confidence_rating_post,academic_support_at_home_post,technology_access_post,post_secondary_plan_post,act_composite_post,act_english_post,act_math_post,act_reading_post,act_science_post,sat_total_post,sat_math_post,sat_verbal_post,gpa_post,college_readiness_self_rating_post_post,study_hours_per_week_post_post,career_confidence_rating_post_post,post_secondary_enrollment,scholarship_received,scholarship_amount,program_satisfaction,would_recommend,act_improvement,sat_improvement,gpa_improvement,readiness_improvement,career_confidence_improvement,program_duration_days,race_ethnicity_std,income_level,academic_level_pre,act_met_improvement_goal,sat_met_improvement_goal,gpa_met_improvement_goal
CYC2019011,2019,2019-09-19,2019-09-28,Completed,16,11th,Hispanic/Latino,Female,Providence High School,Yes,"$40,000-$59,999",7,Yes,College Prep,No,N/A,2019,16,11th,Hispanic/Latino,Female,Providence High School,Yes,"$40,000-$59,999",7,Yes,College Prep,No,N/A,12,12,10,14,13,920,460,460,1.96,5,0,4,Limited,No reliable access,Community college,2019,16,11th,Hispanic/Latino,Female,Providence High School,Yes,"$40,000-$59,999",7,Yes,College Prep,No,N/A,12,12,10,14,13,920,460,460,1.96,5,0,4,Limited,No reliable access,Community college,13,12,12,16,14,1090,500,590,2.3218180423804458,7,2.3254047344080857,7,Enrolled 4-year,No,NA,5,Probably,1,170,0.3618180423804458,2,3,355,Hispanic/Latino,Middle Income,Developing,FALSE,TRUE,TRUE
CYC2019012,2019,2019-09-08,2019-09-20,Completed,17,12th,Black or African American,Female,North Mecklenburg High School,Yes,"$25,000-$39,999",5,Yes,Career Readiness,No,No,2019,17,12th,Black or African American,Female,North Mecklenburg High School,Yes,"$25,000-$39,999",5,Yes,Career Readiness,No,No,16,13,14,17,16,1040,560,480,2.43,1,3,2,None,Limited access,4-year college,2019,17,12th,Black or African American,Female,North Mecklenburg High School,Yes,"$25,000-$39,999",5,Yes,Career Readiness,No,No,16,13,14,17,16,1040,560,480,2.43,1,3,2,None,Limited access,4-year college,16,16,17,16,18,1100,590,510,2.864948558462254,1,4.386149881065018,3,Enrolled 4-year,No,NA,5,Probably,0,60,0.43494855846225366,0,1,313,Black/African American,Low Income,Proficient,FALSE,FALSE,TRUE
CYC2019013,2019,2019-09-20,2019-09-28,Did Not Complete,14,9th,Multiracial,Female,East Mecklenburg High School,No,"Under $25,000",6,Unknown,Career Readiness,No,No,2019,14,9th,Multiracial,Female,East Mecklenburg High School,No,"Under $25,000",6,Unknown,Career Readiness,No,No,17,15,18,18,20,470,240,230,3.45,8,16,4,Limited,No reliable access,Undecided,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other/Multiracial,Low Income,Developing,FALSE,FALSE,FALSE
CYC2019014,2019,2019-09-29,2019-10-13,Completed,18,12th,Hispanic/Latino,Female,East Mecklenburg High School,No,"$40,000-$59,999",3,No,Career Readiness,Yes,No,2019,18,12th,Hispanic/Latino,Female,East Mecklenburg High School,No,"$40,000-$59,999",3,No,Career Readiness,Yes,No,22,25,22,22,19,1050,550,500,1,8,8,7,None,Limited access,Trade school,2019,18,12th,Hispanic/Latino,Female,East Mecklenburg High School,No,"$40,000-$59,999",3,No,Career Readiness,Yes,No,22,25,22,22,19,1050,550,500,1,8,8,7,None,Limited access,Trade school,25,27,24,25,27,1030,480,550,1.3658853388178676,10,13.073439441879048,10,Gap year,Yes,12900,5,Probably,3,-20,0.3658853388178675,2,3,328,Hispanic/Latino,Middle Income,Proficient,TRUE,FALSE,TRUE
CYC2019015,2019,2019-09-03,2019-09-12,Completed,17,12th,Black or African American,Female,Charlotte Catholic High School,No,"$60,000-$79,999",6,Yes,Career Readiness,Yes,No,2019,17,12th,Black or African American,Female,Charlotte Catholic High School,No,"$60,000-$79,999",6,Yes,Career Readiness,Yes,No,14,14,12,17,11,930,500,430,2.15,8,0,6,None,Good access,Community college,2019,17,12th,Black or African American,Female,Charlotte Catholic High School,No,"$60,000-$79,999",6,Yes,Career Readiness,Yes,No,14,14,12,17,11,930,500,430,2.15,8,0,6,None,Good access,Community college,15,13,16,18,13,1050,540,510,2.452943094298249,10,0.39372254069760215,7,Enrolled 4-year,No,NA,4,Probably,1,120,0.30294309429824917,2,1,333,Black/African American,Middle Income,Developing,FALSE,TRUE,TRUE
CYC2019016,2019,2019-09-09,2019-09-19,Completed,18,12th,White,Male,Garinger High School,Yes,"$40,000-$59,999",2,Yes,Career Readiness,No,N/A,2019,18,12th,White,Male,Garinger High School,Yes,"$40,000-$59,999",2,Yes,Career Readiness,No,N/A,25,27,21,23,28,1060,520,540,2.64,1,8,1,Strong,Limited access,4-year college,2019,18,12th,White,Male,Garinger High School,Yes,"$40,000-$59,999",2,Yes,Career Readiness,No,N/A,25,27,21,23,28,1060,520,540,2.64,1,8,1,Strong,Limited access,4-year college,27,27,26,28,27,1170,570,600,2.614399127919437,5,10.063100863794748,4,Trade program,Yes,9500,3,Definitely,2,110,-0.02560087208056316,4,3,380,White,Middle Income,High Achieving,TRUE,TRUE,FALSE
CYC2019017,2019,2019-10-03,2019-10-07,Completed,15,10th,Hispanic/Latino,Male,East Mecklenburg High School,Yes,"$25,000-$39,999",1,Yes,College Prep,Yes,No,2019,15,10th,Hispanic/Latino,Male,East Mecklenburg High School,Yes,"$25,000-$39,999",1,Yes,College Prep,Yes,No,21,21,18,22,19,1110,540,570,2.52,7,8,2,Limited,Limited access,Community college,2019,15,10th,Hispanic/Latino,Male,East Mecklenburg High School,Yes,"$25,000-$39,999",1,Yes,College Prep,Yes,No,21,21,18,22,19,1110,540,570,2.52,7,8,2,Limited,Limited access,Community college,22,24,24,21,23,1240,640,600,2.8801878659943556,9,13.38392115144744,3,Enrolled 4-year,No,NA,4,Definitely,1,130,0.3601878659943556,2,1,337,Hispanic/Latino,Low Income,Proficient,FALSE,TRUE,TRUE
CYC2019018,2019,2019-09-30,2019-10-03,Completed,16,11th,Black or African American,Female,Ardrey Kell High School,Yes,"$40,000-$59,999",7,Yes,College Prep,No,No,2019,16,11th,Black or African American,Female,Ardrey Kell High School,Yes,"$40,000-$59,999",7,Yes,College Prep,No,No,15,17,16,15,15,1240,670,570,2.49,7,4,5,Limited,Limited access,4-year college,2019,16,11th,Black or African American,Female,Ardrey Kell High School,Yes,"$40,000-$59,999",7,Yes,College Prep,No,No,15,17,16,15,15,1240,670,570,2.49,7,4,5,Limited,Limited access,4-year college,17,15,15,16,18,1350,640,710,3.462807480328762,10,9.575177425428116,6,Enrolled 2-year,No,NA,3,Definitely,2,110,0.9728074803287616,3,1,318,Black/African American,Middle Income,High Achieving,TRUE,TRUE,TRUE
CYC2019019,2019,2019-08-17,2019-08-31,Completed,17,12th,Hispanic/Latino,Female,Charlotte Catholic High School,Yes,"$100,000+",5,Yes,College Prep,No,No,2019,17,12th,Hispanic/Latino,Female,Charlotte Catholic High School,Yes,"$100,000+",5,Yes,College Prep,No,No,28,31,24,28,30,680,360,320,2.14,8,5,6,Moderate,No reliable access,4-year college,2019,17,12th,Hispanic/Latino,Female,Charlotte Catholic High School,Yes,"$100,000+",5,Yes,College Prep,No,No,28,31,24,28,30,680,360,320,2.14,8,5,6,Moderate,No reliable access,4-year college,30,30,27,29,32,720,350,370,2.6337898996977747,9,10.522319757313229,10,Working,Yes,6400,3,Probably Not,2,40,0.49378989969777454,1,4,352,Hispanic/Latino,Higher Income,High Achieving,TRUE,FALSE,TRUE
CYC2019020,2019,2019-09-24,2019-10-07,Completed,15,10th,White,Female,East Mecklenburg High School,No,"$40,000-$59,999",2,Yes,Dual Track,Yes,No,2019,15,10th,White,Female,East Mecklenburg High School,No,"$40,000-$59,999",2,Yes,Dual Track,Yes,No,13,12,11,11,10,990,530,460,1.49,3,8,4,None,Limited access,4-year college,2019,15,10th,White,Female,East Mecklenburg High School,No,"$40,000-$59,999",2,Yes,Dual Track,Yes,No,13,12,11,11,10,990,530,460,1.49,3,8,4,None,Limited access,4-year college,18,16,19,19,18,1050,480,570,1.5065603785939,2,10.933276767521305,7,Enrolled 2-year,No,NA,2,Definitely,5,60,0.01656037859390013,-1,3,349,White,Middle Income,Developing,TRUE,FALSE,FALSE
CYC2019021,2019,2019-09-08,2019-09-22,Completed,17,11th,White,Male,Julius Chambers High School,Yes,"$100,000+",1,Yes,Career Readiness,Yes,No,2019,17,11th,White,Male,Julius Chambers High School,Yes,"$100,000+",1,Yes,Career Readiness,Yes,No,24,26,23,27,24,870,410,460,4,6,12,5,Moderate,No reliable access,4-year college,2019,17,11th,White,Male,Julius Chambers High School,Yes,"$100,000+",1,Yes,Career Readiness,Yes,No,24,26,23,27,24,870,410,460,4,6,12,5,Moderate,No reliable access,4-year college,26,25,28,24,28,970,480,490,4,7,16.493143452631124,5,Enrolled 2-year,No,NA,3,Definitely,2,100,0,1,0,309,White,Higher Income,Proficient,TRUE,TRUE,FALSE
CYC2019022,2019,2019-09-10,2019-09-23,Completed,17,12th,Hispanic/Latino,Male,Independence High School,Yes,"$80,000-$99,999",4,Yes,Career Readiness,No,No,2019,17,12th,Hispanic/Latino,Male,Independence High School,Yes,"$80,000-$99,999",4,Yes,Career Readiness,No,No,13,13,15,16,11,990,500,490,1.24,1,4,4,Moderate,Limited access,Trade school,2019,17,12th,Hispanic/Latino,Male,Independence High School,Yes,"$80,000-$99,999",4,Yes,Career Readiness,No,No,13,13,15,16,11,990,500,490,1.24,1,4,4,Moderate,Limited access,Trade school,19,17,21,19,21,1130,510,620,1.7677546120772258,4,7.768914959794911,5,Gap year,No,NA,5,Probably,6,140,0.5277546120772258,3,1,378,Hispanic/Latino,Higher Income,Developing,TRUE,TRUE,TRUE
CYC2019023,2019,2019-09-19,2019-09-27,Did Not Complete,16,11th,White,Female,Ardrey Kell High School,Yes,"$40,000-$59,999",3,No,College Prep,Yes,No,2019,16,11th,White,Female,Ardrey Kell High School,Yes,"$40,000-$59,999",3,No,College Prep,Yes,No,21,22,22,21,23,960,490,470,3.19,7,12,7,Moderate,Limited access,4-year college,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,White,Middle Income,Proficient,FALSE,FALSE,FALSE
CYC2019024,2019,2019-09-20,2019-09-23,Completed,16,11th,Asian,Male,Vance High School,No,"Under $25,000",3,Yes,Career Readiness,Yes,Yes,2019,16,11th,Asian,Male,Vance High School,No,"Under $25,000",3,Yes,Career Readiness,Yes,Yes,19,20,17,23,19,770,360,410,1.51,1,0,2,Limited,Limited access,Work,2019,16,11th,Asian,Male,Vance High School,No,"Under $25,000",3,Yes,Career Readiness,Yes,Yes,19,20,17,23,19,770,360,410,1.51,1,0,2,Limited,Limited access,Work,24,24,23,26,23,890,470,420,2.1713198346533784,2,3.5113201222635952,5,Enrolled 4-year,Yes,12600,4,Definitely,5,120,0.6613198346533784,1,3,324,Asian,Low Income,Developing,TRUE,TRUE,TRUE
CYC2019025,2019,2019-09-14,2019-09-16,Completed,17,12th,Hispanic/Latino,Male,Garinger High School,No,"Under $25,000",4,No,College Prep,No,No,2019,17,12th,Hispanic/Latino,Male,Garinger High School,No,"Under $25,000",4,No,College Prep,No,No,16,17,15,20,19,650,320,330,1,6,18,7,Limited,Limited access,4-year college,2019,17,12th,Hispanic/Latino,Male,Garinger High School,No,"Under $25,000",4,No,College Prep,No,No,16,17,15,20,19,650,320,330,1,6,18,7,Limited,Limited access,4-year college,18,16,17,19,18,710,390,320,1.1006511386264746,6,22.034440453200062,9,Enrolled 4-year,No,NA,3,Definitely,2,60,0.10065113862647455,0,2,331,Hispanic/Latino,Low Income,Developing,TRUE,FALSE,FALSE
CYC2019026,2019,2019-09-28,2019-10-05,Did Not Complete,17,12th,Black or African American,Male,East Mecklenburg High School,No,"$80,000-$99,999",3,Yes,Dual Track,No,No,2019,17,12th,Black or African American,Male,East Mecklenburg High School,No,"$80,000-$99,999",3,Yes,Dual Track,No,No,15,16,13,13,18,1360,730,630,2.52,4,12,5,Limited,Limited access,4-year college,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black/African American,Higher Income,High Achieving,FALSE,FALSE,FALSE
CYC2019027,2019,2019-08-19,2019-08-19,Completed,16,11th,Multiracial,Male,Charlotte Catholic High School,Yes,"$25,000-$39,999",4,Yes,Dual Track,Yes,Yes,2019,16,11th,Multiracial,Male,Charlotte Catholic High School,Yes,"$25,000-$39,999",4,Yes,Dual Track,Yes,Yes,20,22,21,18,20,740,400,340,4,10,5,2,None,No reliable access,Undecided,2019,16,11th,Multiracial,Male,Charlotte Catholic High School,Yes,"$25,000-$39,999",4,Yes,Dual Track,Yes,Yes,20,22,21,18,20,740,400,340,4,10,5,2,None,No reliable access,Undecided,19,20,19,19,20,810,360,450,4,10,10.084191627069416,3,Enrolled 4-year,Yes,6500,5,Definitely,-1,70,0,0,1,326,Other/Multiracial,Low Income,Proficient,FALSE,TRUE,FALSE
CYC2019028,2019,2019-09-03,2019-09-11,Did Not Complete,18,12th,White,Female,West Charlotte High School,Yes,"$25,000-$39,999",4,Yes,Dual Track,Yes,No,2019,18,12th,White,Female,West Charlotte High School,Yes,"$25,000-$39,999",4,Yes,Dual Track,Yes,No,19,21,17,21,20,1030,540,490,2.9,7,7,7,None,Good access,4-year college,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,White,Low Income,Proficient,FALSE,FALSE,FALSE
CYC2019029,2019,2019-09-17,2019-09-20,Completed,16,11th,Black or African American,Male,Garinger High School,No,"Under $25,000",4,Yes,Intensive Support,Yes,No,2019,16,11th,Black or African American,Male,Garinger High School,No,"Under $25,000",4,Yes,Intensive Support,Yes,No,21,20,19,22,21,780,420,360,1.09,9,2,6,None,Good access,4-year college,2019,16,11th,Black or African American,Male,Garinger High School,No,"Under $25,000",4,Yes,Intensive Support,Yes,No,21,20,19,22,21,780,420,360,1.09,9,2,6,None,Good access,4-year college,22,24,23,20,20,920,460,460,1.6733956720100331,9,3.4137839854956784,9,Enrolled 2-year,No,NA,5,Definitely,1,140,0.5833956720100331,0,3,394,Black/African American,Low Income,Proficient,FALSE,TRUE,TRUE
CYC2019030,2019,2019-09-11,2019-09-15,Did Not Complete,17,12th,Black or African American,Female,Rocky River High School,Yes,"$25,000-$39,999",5,No,College Prep,Yes,Yes,2019,17,12th,Black or African American,Female,Rocky River High School,Yes,"$25,000-$39,999",5,No,College Prep,Yes,Yes,21,19,22,23,21,1250,610,640,1.87,3,3,1,None,No reliable access,4-year college,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black/African American,Low Income,High Achieving,FALSE,FALSE,FALSE
CYC2019031,2019,2019-09-23,2019-10-03,Completed,17,11th,White,Male,Garinger High School,Yes,"$80,000-$99,999",4,Yes,Dual Track,No,No,2019,17,11th,White,Male,Garinger High School,Yes,"$80,000-$99,999",4,Yes,Dual Track,No,No,24,21,21,24,26,660,360,300,1.8,6,9,4,Limited,No reliable access,4-year college,2019,17,11th,White,Male,Garinger High School,Yes,"$80,000-$99,999",4,Yes,Dual Track,No,No,24,21,21,24,26,660,360,300,1.8,6,9,4,Limited,No reliable access,4-year college,27,27,25,28,26,710,330,380,2.0192619103197256,8,12.936186280182335,6,Enrolled 4-year,No,NA,5,Probably,3,50,0.21926191031972553,2,2,310,White,Higher Income,Proficient,TRUE,FALSE,FALSE
CYC2019032,2019,2019-08-17,2019-08-19,Completed,16,11th,White,Male,East Mecklenburg High School,Yes,"$25,000-$39,999",5,Yes,College Prep,Yes,N/A,2019,16,11th,White,Male,East Mecklenburg High School,Yes,"$25,000-$39,999",5,Yes,College Prep,Yes,N/A,25,27,22,24,27,820,420,400,1.48,6,0,2,Moderate,Limited access,Work,2019,16,11th,White,Male,East Mecklenburg High School,Yes,"$25,000-$39,999",5,Yes,College Prep,Yes,N/A,25,27,22,24,27,820,420,400,1.48,6,0,2,Moderate,Limited access,Work,28,29,28,28,30,820,390,430,1.3795694279146908,7,0,4,Enrolled 2-year,Yes,8300,5,Definitely,3,0,-0.10043057208530914,1,2,338,White,Low Income,High Achieving,TRUE,FALSE,FALSE
