participant_id,cohort_year,total_sessions_offered,sessions_attended,sessions_excused,sessions_absent,attendance_rate,total_hours,avg_session_length,test_prep_sessions,college_planning_sessions,tutoring_sessions,program_start_date,program_end_date,consistent_attendance,high_engagement,engagement_level
CYC2019040,2019,35,27,0,8,77.1,59,2.2,2,0,9,2019-09-05,2020-04-30,TRUE,FALSE,Moderate Engagement
CYC2019041,2019,35,24,3,8,68.6,50.5,2.1,2,1,8,2019-10-11,2020-06-05,FALSE,FALSE,Low Engagement
CYC2019042,2019,31,20,2,9,64.5,42,2.1,2,2,2,2019-08-22,2020-03-19,FALSE,FALSE,Low Engagement
CYC2019043,2019,35,27,1,7,77.1,54.5,2,5,2,7,2019-09-19,2020-05-14,TRUE,FALSE,Moderate Engagement
CYC2019044,2019,34,22,4,8,64.7,49,2.2,1,6,5,2019-08-18,2020-04-05,FALSE,FALSE,Low Engagement
CYC2019045,2019,31,22,1,8,71,49,2.2,3,1,2,2019-09-05,2020-04-02,FALSE,FALSE,Low Engagement
CYC2019046,2019,29,21,2,6,72.4,46,2.2,4,5,2,2019-09-01,2020-03-15,FALSE,FALSE,Low Engagement
CYC2019047,2019,32,29,2,1,90.6,61.5,2.1,5,5,5,2019-09-28,2020-05-02,TRUE,TRUE,Moderate Engagement
CYC2019048,2019,28,23,2,3,82.1,47,2,6,4,2,2019-09-11,2020-03-18,TRUE,FALSE,Low Engagement
CYC2019049,2019,31,23,2,6,74.2,52,2.3,2,4,3,2019-08-19,2020-03-16,FALSE,FALSE,Moderate Engagement
CYC2019050,2019,33,23,1,9,69.7,53.5,2.3,2,8,2,2019-08-18,2020-03-29,FALSE,FALSE,Low Engagement
CYC2019051,2019,36,27,4,5,75,56,2.1,5,2,2,2019-09-17,2020-05-19,TRUE,FALSE,Moderate Engagement
CYC2019052,2019,33,29,1,3,87.9,65,2.2,2,7,5,2019-10-09,2020-05-20,TRUE,TRUE,Moderate Engagement
CYC2019053,2019,33,24,3,6,72.7,47,2,4,4,5,2019-10-03,2020-05-14,FALSE,FALSE,Low Engagement
CYC2019054,2019,29,21,0,8,72.4,46.5,2.2,4,2,1,2019-09-18,2020-04-01,FALSE,FALSE,Low Engagement
CYC2019055,2019,35,28,1,6,80,59.5,2.1,5,5,3,2019-09-07,2020-05-02,TRUE,FALSE,Moderate Engagement
CYC2019056,2019,29,21,1,7,72.4,44,2.1,6,2,5,2019-09-06,2020-03-20,FALSE,FALSE,Low Engagement
CYC2019057,2019,31,25,2,4,80.6,55.5,2.2,3,5,3,2019-10-02,2020-04-29,TRUE,FALSE,Moderate Engagement
CYC2019058,2019,29,22,2,5,75.9,52,2.4,2,6,1,2019-10-06,2020-04-19,TRUE,FALSE,Moderate Engagement
CYC2019059,2019,36,28,3,5,77.8,59.5,2.1,4,3,6,2019-09-09,2020-05-11,TRUE,FALSE,Moderate Engagement
CYC2019060,2019,36,29,1,6,80.6,63.5,2.2,7,4,2,2019-10-03,2020-06-04,TRUE,TRUE,Moderate Engagement
CYC2019061,2019,31,25,2,4,80.6,57,2.3,5,3,2,2019-08-20,2020-03-17,TRUE,FALSE,Moderate Engagement
CYC2019062,2019,34,21,5,8,61.8,46,2.2,1,0,7,2019-08-20,2020-04-07,FALSE,FALSE,Low Engagement
CYC2019063,2019,34,26,1,7,76.5,56.5,2.2,4,1,3,2019-08-16,2020-04-03,TRUE,FALSE,Moderate Engagement
CYC2019064,2019,33,23,2,8,69.7,51,2.2,4,2,0,2019-10-05,2020-05-16,FALSE,FALSE,Low Engagement
CYC2019065,2019,33,23,2,8,69.7,48.5,2.1,0,0,1,2019-08-17,2020-03-28,FALSE,FALSE,Low Engagement
CYC2019066,2019,28,21,3,4,75,49,2.3,2,2,6,2019-10-07,2020-04-13,TRUE,FALSE,Low Engagement
CYC2019067,2019,32,21,4,7,65.6,41,2,3,2,4,2019-09-04,2020-04-08,FALSE,FALSE,Low Engagement
CYC2019068,2019,36,28,4,4,77.8,60,2.1,7,2,1,2019-08-16,2020-04-17,TRUE,TRUE,Moderate Engagement
CYC2019069,2019,28,19,5,4,67.9,43,2.3,3,5,1,2019-10-08,2020-04-14,FALSE,FALSE,Low Engagement
CYC2019070,2019,28,20,2,6,71.4,43.5,2.2,4,4,3,2019-09-21,2020-03-28,FALSE,FALSE,Low Engagement
CYC2019071,2019,36,27,0,9,75,60.5,2.2,3,3,3,2019-10-11,2020-06-12,TRUE,TRUE,Moderate Engagement
CYC2019072,2019,33,24,0,9,72.7,51,2.1,4,6,5,2019-08-24,2020-04-04,FALSE,FALSE,Moderate Engagement
CYC2019073,2019,33,22,2,9,66.7,46,2.1,6,1,3,2019-09-23,2020-05-04,FALSE,FALSE,Low Engagement
CYC2019074,2019,32,24,0,8,75,56.5,2.4,5,1,3,2019-08-19,2020-03-23,TRUE,FALSE,Moderate Engagement
CYC2019075,2019,32,21,2,9,65.6,47,2.2,4,3,0,2019-09-16,2020-04-20,FALSE,FALSE,Low Engagement
CYC2019076,2019,34,29,1,4,85.3,56.5,1.9,5,2,5,2019-10-02,2020-05-20,TRUE,FALSE,Moderate Engagement
CYC2019077,2019,29,21,4,4,72.4,46,2.2,3,2,1,2019-09-22,2020-04-05,FALSE,FALSE,Low Engagement
CYC2019078,2019,31,24,2,5,77.4,52.5,2.2,5,5,3,2019-09-19,2020-04-16,TRUE,FALSE,Moderate Engagement
CYC2019079,2019,32,24,4,4,75,53.5,2.2,3,3,6,2019-09-28,2020-05-02,TRUE,FALSE,Moderate Engagement
CYC2019080,2019,33,21,2,10,63.6,46,2.2,5,4,1,2019-09-25,2020-05-06,FALSE,FALSE,Low Engagement
CYC2019081,2019,34,25,2,7,73.5,50.5,2,4,4,5,2019-08-23,2020-04-10,FALSE,FALSE,Moderate Engagement
CYC2019082,2019,35,24,3,8,68.6,51,2.1,4,2,3,2019-09-12,2020-05-07,FALSE,FALSE,Low Engagement
CYC2019083,2019,32,24,2,6,75,52,2.2,3,1,9,2019-08-26,2020-03-30,TRUE,FALSE,Moderate Engagement
CYC2019084,2019,33,28,0,5,84.8,60.5,2.2,4,0,8,2019-09-03,2020-04-14,TRUE,TRUE,Moderate Engagement
CYC2019085,2019,28,22,2,4,78.6,45.5,2.1,4,1,4,2019-08-23,2020-02-28,TRUE,FALSE,Low Engagement
CYC2019086,2019,30,25,1,4,83.3,54,2.2,5,4,6,2019-09-26,2020-04-16,TRUE,FALSE,Moderate Engagement
CYC2019087,2019,35,25,1,9,71.4,55.5,2.2,3,4,3,2019-09-18,2020-05-13,FALSE,FALSE,Moderate Engagement
CYC2019088,2019,30,22,1,7,73.3,45.5,2.1,5,2,7,2019-09-12,2020-04-02,FALSE,FALSE,Low Engagement
CYC2019089,2019,31,19,5,7,61.3,44,2.3,2,3,5,2019-08-30,2020-03-27,FALSE,FALSE,Low Engagement
CYC2019090,2019,29,25,2,2,86.2,53,2.1,4,3,5,2019-09-20,2020-04-03,TRUE,FALSE,Moderate Engagement
CYC2019091,2019,29,19,1,9,65.5,40.5,2.1,3,2,5,2019-09-11,2020-03-25,FALSE,FALSE,Low Engagement
CYC2019092,2019,35,30,2,3,85.7,64.5,2.1,5,5,5,2019-10-09,2020-06-03,TRUE,TRUE,Moderate Engagement
CYC2019093,2019,29,26,1,2,89.7,53.5,2.1,3,5,1,2019-09-29,2020-04-12,TRUE,FALSE,Moderate Engagement
CYC2019094,2019,31,22,4,5,71,49.5,2.2,2,4,3,2019-08-19,2020-03-16,FALSE,FALSE,Low Engagement
CYC2019095,2019,35,30,2,3,85.7,61.5,2,3,5,3,2019-09-11,2020-05-06,TRUE,TRUE,Moderate Engagement
CYC2019096,2019,29,26,0,3,89.7,55.5,2.1,7,4,4,2019-10-07,2020-04-20,TRUE,FALSE,Moderate Engagement
CYC2019097,2019,28,21,3,4,75,46,2.2,8,1,3,2019-08-16,2020-02-21,TRUE,FALSE,Low Engagement
CYC2019098,2019,30,21,2,7,70,43.5,2.1,1,3,5,2019-09-01,2020-03-22,FALSE,FALSE,Low Engagement
CYC2019099,2019,36,24,7,5,66.7,51.5,2.1,3,4,2,2019-09-07,2020-05-09,FALSE,FALSE,Low Engagement
CYC2019100,2019,33,21,4,8,63.6,49,2.3,4,0,3,2019-10-02,2020-05-13,FALSE,FALSE,Low Engagement
CYC2019101,2019,34,25,2,7,73.5,57,2.3,3,5,3,2019-09-01,2020-04-19,FALSE,FALSE,Moderate Engagement
CYC2019102,2019,33,28,1,4,84.8,65,2.3,4,2,3,2019-08-19,2020-03-30,TRUE,TRUE,Moderate Engagement
CYC2019103,2019,36,30,3,3,83.3,68,2.3,7,5,4,2019-09-29,2020-05-31,TRUE,TRUE,Moderate Engagement
CYC2019104,2019,32,27,0,5,84.4,60,2.2,3,4,3,2019-09-23,2020-04-27,TRUE,TRUE,Moderate Engagement
CYC2019105,2019,34,26,0,8,76.5,58.5,2.2,4,2,10,2019-10-08,2020-05-26,TRUE,FALSE,Moderate Engagement
CYC2019106,2019,32,22,1,9,68.8,47.5,2.2,4,4,4,2019-09-23,2020-04-27,FALSE,FALSE,Low Engagement
CYC2019107,2019,28,20,2,6,71.4,40.5,2,4,4,2,2019-09-04,2020-03-11,FALSE,FALSE,Low Engagement
CYC2019108,2019,30,23,2,5,76.7,46.5,2,4,3,4,2019-09-19,2020-04-09,TRUE,FALSE,Low Engagement
CYC2019109,2019,32,23,1,8,71.9,51.5,2.2,3,3,6,2019-10-10,2020-05-14,FALSE,FALSE,Moderate Engagement
CYC2019110,2019,28,20,1,7,71.4,43.5,2.2,1,2,0,2019-09-19,2020-03-26,FALSE,FALSE,Low Engagement
CYC2019111,2019,32,23,1,8,71.9,49.5,2.2,2,3,5,2019-09-22,2020-04-26,FALSE,FALSE,Low Engagement
CYC2019112,2019,35,26,2,7,74.3,53.5,2.1,2,5,7,2019-09-25,2020-05-20,FALSE,FALSE,Moderate Engagement
CYC2019113,2019,29,20,1,8,69,44,2.2,2,3,3,2019-09-01,2020-03-15,FALSE,FALSE,Low Engagement
CYC2019114,2019,30,23,3,4,76.7,50.5,2.2,2,5,5,2019-09-10,2020-03-31,TRUE,FALSE,Moderate Engagement
CYC2019115,2019,33,27,1,5,81.8,59,2.2,2,2,6,2019-08-27,2020-04-07,TRUE,FALSE,Moderate Engagement
CYC2019116,2019,30,26,0,4,86.7,53.5,2.1,2,2,5,2019-10-06,2020-04-26,TRUE,FALSE,Moderate Engagement
CYC2019117,2019,28,17,1,10,60.7,36.5,2.1,1,4,3,2019-10-07,2020-04-13,FALSE,FALSE,Low Engagement
CYC2019118,2019,29,19,0,10,65.5,40,2.1,3,2,0,2019-09-02,2020-03-16,FALSE,FALSE,Low Engagement
CYC2019119,2019,33,29,1,3,87.9,64,2.2,7,3,3,2019-09-15,2020-04-26,TRUE,TRUE,Moderate Engagement
CYC2019120,2019,31,19,5,7,61.3,36.5,1.9,0,1,2,2019-08-30,2020-03-27,FALSE,FALSE,Low Engagement
CYC2019121,2019,28,20,2,6,71.4,42,2.1,3,4,0,2019-10-07,2020-04-13,FALSE,FALSE,Low Engagement
CYC2019122,2019,32,25,1,6,78.1,54,2.2,2,4,5,2019-10-13,2020-05-17,TRUE,FALSE,Moderate Engagement
CYC2019123,2019,31,24,3,4,77.4,50.5,2.1,1,2,2,2019-09-12,2020-04-09,TRUE,FALSE,Moderate Engagement
CYC2019124,2019,32,27,1,4,84.4,54.5,2,4,4,7,2019-08-31,2020-04-04,TRUE,FALSE,Moderate Engagement
CYC2019125,2019,30,25,2,3,83.3,56,2.2,3,5,3,2019-09-27,2020-04-17,TRUE,FALSE,Moderate Engagement
CYC2019126,2019,32,22,1,9,68.8,48,2.2,6,2,3,2019-08-23,2020-03-27,FALSE,FALSE,Low Engagement
CYC2019127,2019,35,24,4,7,68.6,54,2.2,1,1,5,2019-10-10,2020-06-04,FALSE,FALSE,Low Engagement
CYC2019128,2019,31,24,2,5,77.4,54,2.2,4,4,5,2019-09-04,2020-04-01,TRUE,FALSE,Moderate Engagement
CYC2019129,2019,36,26,2,8,72.2,57.5,2.2,2,5,3,2019-10-15,2020-06-16,FALSE,FALSE,Moderate Engagement
CYC2019130,2019,33,29,2,2,87.9,60,2.1,2,8,4,2019-09-26,2020-05-07,TRUE,TRUE,Moderate Engagement
CYC2019131,2019,35,32,3,0,91.4,66,2.1,5,5,3,2019-10-10,2020-06-04,TRUE,TRUE,Moderate Engagement
CYC2019132,2019,28,16,4,8,57.1,30.5,1.9,2,3,5,2019-10-11,2020-04-17,FALSE,FALSE,Low Engagement
CYC2019133,2019,35,25,4,6,71.4,54,2.2,3,4,8,2019-10-01,2020-05-26,FALSE,FALSE,Moderate Engagement
CYC2019134,2019,31,25,2,4,80.6,55,2.2,9,2,2,2019-08-22,2020-03-19,TRUE,FALSE,Moderate Engagement
CYC2019135,2019,32,23,2,7,71.9,53,2.3,3,2,6,2019-09-12,2020-04-16,FALSE,FALSE,Moderate Engagement
CYC2019136,2019,30,25,2,3,83.3,54,2.2,3,4,5,2019-10-08,2020-04-28,TRUE,FALSE,Moderate Engagement
CYC2019137,2019,32,24,3,5,75,53,2.2,3,3,2,2019-09-21,2020-04-25,TRUE,FALSE,Moderate Engagement
CYC2019138,2019,35,28,1,6,80,57,2,3,1,9,2019-08-15,2020-04-09,TRUE,FALSE,Moderate Engagement
CYC2019139,2019,28,17,5,6,60.7,37.5,2.2,1,2,4,2019-08-27,2020-03-03,FALSE,FALSE,Low Engagement
CYC2019140,2019,32,27,0,5,84.4,53.5,2,8,5,2,2019-08-28,2020-04-01,TRUE,FALSE,Moderate Engagement
CYC2019141,2019,32,20,6,6,62.5,45,2.2,4,4,1,2019-08-19,2020-03-23,FALSE,FALSE,Low Engagement
CYC2019142,2019,36,30,1,5,83.3,66.5,2.2,5,3,5,2019-08-23,2020-04-24,TRUE,TRUE,Moderate Engagement
CYC2019143,2019,32,28,0,4,87.5,60,2.1,2,3,7,2019-10-08,2020-05-12,TRUE,TRUE,Moderate Engagement
CYC2019144,2019,29,18,3,8,62.1,38.5,2.1,1,1,3,2019-08-30,2020-03-13,FALSE,FALSE,Low Engagement
CYC2019145,2019,31,20,3,8,64.5,44,2.2,3,2,3,2019-09-09,2020-04-06,FALSE,FALSE,Low Engagement
CYC2019146,2019,36,26,6,4,72.2,56,2.2,3,4,8,2019-09-26,2020-05-28,FALSE,FALSE,Moderate Engagement
CYC2019147,2019,34,28,0,6,82.4,54.5,1.9,5,1,6,2019-09-25,2020-05-13,TRUE,FALSE,Moderate Engagement
CYC2019148,2019,29,24,1,4,82.8,54,2.2,4,2,8,2019-09-25,2020-04-08,TRUE,FALSE,Moderate Engagement
CYC2019149,2019,30,25,1,4,83.3,55.5,2.2,1,5,3,2019-10-09,2020-04-29,TRUE,FALSE,Moderate Engagement
CYC2019150,2019,28,23,1,4,82.1,52,2.3,4,4,1,2019-09-16,2020-03-23,TRUE,FALSE,Moderate Engagement
CYC2019151,2019,34,25,0,9,73.5,54,2.2,3,4,5,2019-10-12,2020-05-30,FALSE,FALSE,Moderate Engagement
CYC2019152,2019,34,26,2,6,76.5,58,2.2,4,3,5,2019-10-10,2020-05-28,TRUE,FALSE,Moderate Engagement
CYC2019153,2019,36,27,3,6,75,57.5,2.1,3,2,4,2019-09-12,2020-05-14,TRUE,FALSE,Moderate Engagement
CYC2019154,2019,30,28,1,1,93.3,60.5,2.2,4,7,3,2019-09-08,2020-03-29,TRUE,TRUE,Moderate Engagement
CYC2019155,2019,35,23,1,11,65.7,49.5,2.2,5,3,1,2019-10-04,2020-05-29,FALSE,FALSE,Low Engagement
CYC2019156,2019,29,24,1,4,82.8,51,2.1,4,2,2,2019-09-15,2020-03-29,TRUE,FALSE,Moderate Engagement
CYC2019157,2019,29,23,1,5,79.3,47.5,2.1,4,2,2,2019-08-31,2020-03-14,TRUE,FALSE,Low Engagement
CYC2019158,2019,30,26,2,2,86.7,59,2.3,4,2,2,2019-09-29,2020-04-19,TRUE,FALSE,Moderate Engagement
CYC2019159,2019,35,26,0,9,74.3,56.5,2.2,4,3,2,2019-08-28,2020-04-22,FALSE,FALSE,Moderate Engagement
CYC2019160,2019,28,20,2,6,71.4,46.5,2.3,6,1,1,2019-09-30,2020-04-06,FALSE,FALSE,Low Engagement
CYC2019161,2019,34,24,3,7,70.6,50.5,2.1,2,6,5,2019-08-20,2020-04-07,FALSE,FALSE,Moderate Engagement
CYC2019162,2019,33,24,2,7,72.7,52,2.2,1,6,2,2019-10-09,2020-05-20,FALSE,FALSE,Moderate Engagement
CYC2019163,2019,35,29,0,6,82.9,66.5,2.3,0,2,5,2019-09-30,2020-05-25,TRUE,TRUE,Moderate Engagement
CYC2019164,2019,32,24,3,5,75,52.5,2.2,4,4,7,2019-09-26,2020-04-30,TRUE,FALSE,Moderate Engagement
CYC2019165,2019,33,30,2,1,90.9,69.5,2.3,4,6,4,2019-10-15,2020-05-26,TRUE,TRUE,Moderate Engagement
CYC2019166,2019,36,29,1,6,80.6,59,2,4,4,7,2019-09-20,2020-05-22,TRUE,FALSE,Moderate Engagement
CYC2019167,2019,29,21,0,8,72.4,43.5,2.1,1,2,4,2019-08-30,2020-03-13,FALSE,FALSE,Low Engagement
CYC2019168,2019,31,27,0,4,87.1,59.5,2.2,3,4,4,2019-10-02,2020-04-29,TRUE,FALSE,Moderate Engagement
CYC2019169,2019,30,24,2,4,80,55.5,2.3,3,3,3,2019-10-07,2020-04-27,TRUE,FALSE,Moderate Engagement
CYC2019170,2019,35,29,1,5,82.9,59,2,6,4,6,2019-10-02,2020-05-27,TRUE,FALSE,Moderate Engagement
CYC2019171,2019,34,22,3,9,64.7,43,2,6,2,1,2019-10-03,2020-05-21,FALSE,FALSE,Low Engagement
CYC2019172,2019,30,23,0,7,76.7,48.5,2.1,4,4,4,2019-09-14,2020-04-04,TRUE,FALSE,Low Engagement
CYC2019173,2019,36,23,2,11,63.9,53,2.3,4,9,4,2019-09-17,2020-05-19,FALSE,FALSE,Low Engagement
CYC2019174,2019,36,28,3,5,77.8,59.5,2.1,2,6,5,2019-09-13,2020-05-15,TRUE,FALSE,Moderate Engagement
CYC2019175,2019,31,27,1,3,87.1,60,2.2,1,2,4,2019-09-15,2020-04-12,TRUE,TRUE,Moderate Engagement
CYC2019176,2019,32,23,3,6,71.9,47.5,2.1,1,5,2,2019-08-20,2020-03-24,FALSE,FALSE,Low Engagement
CYC2019177,2019,35,30,1,4,85.7,60,2,8,4,2,2019-09-05,2020-04-30,TRUE,TRUE,Moderate Engagement
CYC2019178,2019,28,23,1,4,82.1,46.5,2,8,3,5,2019-09-21,2020-03-28,TRUE,FALSE,Low Engagement
CYC2019179,2019,30,24,2,4,80,57,2.4,5,3,8,2019-09-14,2020-04-04,TRUE,FALSE,Moderate Engagement
CYC2019180,2019,28,19,2,7,67.9,40,2.1,2,5,0,2019-08-20,2020-02-25,FALSE,FALSE,Low Engagement
CYC2019181,2019,34,23,1,10,67.6,47,2,7,4,0,2019-09-03,2020-04-21,FALSE,FALSE,Low Engagement
CYC2019182,2019,32,20,1,11,62.5,44.5,2.2,4,2,5,2019-10-13,2020-05-17,FALSE,FALSE,Low Engagement
CYC2019183,2019,34,27,2,5,79.4,57,2.1,0,6,4,2019-08-29,2020-04-16,TRUE,FALSE,Moderate Engagement
CYC2019184,2019,31,26,0,5,83.9,54.5,2.1,6,1,3,2019-09-17,2020-04-14,TRUE,FALSE,Moderate Engagement
CYC2019185,2019,29,23,1,5,79.3,50.5,2.2,8,4,4,2019-09-25,2020-04-08,TRUE,FALSE,Moderate Engagement
CYC2019186,2019,29,19,3,7,65.5,42,2.2,3,3,1,2019-09-06,2020-03-20,FALSE,FALSE,Low Engagement
CYC2019187,2019,35,28,0,7,80,60.5,2.2,4,2,6,2019-10-13,2020-06-07,TRUE,TRUE,Moderate Engagement
CYC2019188,2019,32,26,1,5,81.2,55,2.1,2,6,5,2019-10-15,2020-05-19,TRUE,FALSE,Moderate Engagement
CYC2019189,2019,34,27,1,6,79.4,63.5,2.4,6,5,3,2019-08-26,2020-04-13,TRUE,TRUE,Moderate Engagement
CYC2019190,2019,35,26,1,8,74.3,56,2.2,2,5,4,2019-09-09,2020-05-04,FALSE,FALSE,Moderate Engagement
CYC2019191,2019,36,27,2,7,75,57.5,2.1,5,3,4,2019-09-24,2020-05-26,TRUE,FALSE,Moderate Engagement
CYC2019192,2019,32,29,0,3,90.6,65,2.2,7,2,4,2019-08-15,2020-03-19,TRUE,TRUE,Moderate Engagement
CYC2019193,2019,35,27,0,8,77.1,59,2.2,4,2,7,2019-08-16,2020-04-10,TRUE,FALSE,Moderate Engagement
CYC2019194,2019,30,22,3,5,73.3,50.5,2.3,3,3,5,2019-10-09,2020-04-29,FALSE,FALSE,Moderate Engagement
CYC2019195,2019,35,29,0,6,82.9,61,2.1,4,1,3,2019-09-07,2020-05-02,TRUE,TRUE,Moderate Engagement
CYC2019196,2019,30,20,1,9,66.7,42.5,2.1,5,4,0,2019-09-17,2020-04-07,FALSE,FALSE,Low Engagement
CYC2019197,2019,30,19,1,10,63.3,43,2.3,4,1,4,2019-09-08,2020-03-29,FALSE,FALSE,Low Engagement
CYC2019198,2019,34,24,2,8,70.6,50.5,2.1,3,4,3,2019-09-11,2020-04-29,FALSE,FALSE,Moderate Engagement
CYC2019199,2019,31,23,1,7,74.2,49.5,2.2,0,3,6,2019-09-26,2020-04-23,FALSE,FALSE,Low Engagement
CYC2019200,2019,30,24,1,5,80,49,2,4,6,1,2019-10-14,2020-05-04,TRUE,FALSE,Low Engagement
CYC2019201,2019,28,26,0,2,92.9,57.5,2.2,0,5,1,2019-10-15,2020-04-21,TRUE,FALSE,Moderate Engagement
CYC2019202,2019,35,26,3,6,74.3,56.5,2.2,4,2,4,2019-08-28,2020-04-22,FALSE,FALSE,Moderate Engagement
CYC2019203,2019,33,23,3,7,69.7,52,2.3,1,2,1,2019-09-17,2020-04-28,FALSE,FALSE,Low Engagement
CYC2019204,2019,35,24,0,11,68.6,49,2,1,3,2,2019-10-13,2020-06-07,FALSE,FALSE,Low Engagement
CYC2019205,2019,32,25,0,7,78.1,55,2.2,4,5,1,2019-08-16,2020-03-20,TRUE,FALSE,Moderate Engagement
CYC2019206,2019,34,28,0,6,82.4,60,2.1,6,2,4,2019-09-14,2020-05-02,TRUE,TRUE,Moderate Engagement
